stop_lat,stop_lon,time_slot,real_date,Count of real_date
59.43534522,24.75838995,1899-12-30 08:00:00,2016-03-31 00:00:00,82
59.43548192,24.75959132,1899-12-30 08:00:00,2016-03-31 00:00:00,82
59.43555284,24.75896839,1899-12-30 08:00:00,2016-03-31 00:00:00,82
59.4356285,24.75830042,1899-12-30 08:00:00,2016-03-31 00:00:00,82
59.43955506,24.73789787,1899-12-30 08:00:00,2016-03-31 00:00:00,81
59.43970045,24.73758377,1899-12-30 08:00:00,2016-03-31 00:00:00,81
59.43982403,24.73795765,1899-12-30 08:00:00,2016-03-31 00:00:00,81
59.44105979,24.73849879,1899-12-30 08:00:00,2016-03-31 00:00:00,81
59.44108242,24.74071741,1899-12-30 08:00:00,2016-03-31 00:00:00,81
59.44120805,24.73927421,1899-12-30 08:00:00,2016-03-31 00:00:00,81
59.42636441,24.72156771,1899-12-30 08:30:00,2016-03-31 00:00:00,80
59.42748907,24.7219207,1899-12-30 08:30:00,2016-03-31 00:00:00,80
59.42767446,24.71921138,1899-12-30 08:30:00,2016-03-31 00:00:00,80
59.42798312,24.72022213,1899-12-30 08:30:00,2016-03-31 00:00:00,80
59.43516711,24.75969997,1899-12-30 08:30:00,2016-03-31 00:00:00,77
59.43530769,24.75867108,1899-12-30 08:30:00,2016-03-31 00:00:00,77
59.43534522,24.75838995,1899-12-30 08:30:00,2016-03-31 00:00:00,77
59.43548192,24.75959132,1899-12-30 08:30:00,2016-03-31 00:00:00,77
59.43555284,24.75896839,1899-12-30 08:30:00,2016-03-31 00:00:00,77
59.4356285,24.75830042,1899-12-30 08:30:00,2016-03-31 00:00:00,77
59.42636441,24.72156771,1899-12-30 09:00:00,2016-03-31 00:00:00,74
59.42748907,24.7219207,1899-12-30 09:00:00,2016-03-31 00:00:00,74
59.42767446,24.71921138,1899-12-30 09:00:00,2016-03-31 00:00:00,74
59.42798312,24.72022213,1899-12-30 09:00:00,2016-03-31 00:00:00,74
59.43437289,24.75576032,1899-12-30 09:00:00,2016-03-31 00:00:00,67
59.43453702,24.75609767,1899-12-30 09:00:00,2016-03-31 00:00:00,67
59.43456148,24.75574687,1899-12-30 09:00:00,2016-03-31 00:00:00,67
59.43477062,24.75606319,1899-12-30 09:00:00,2016-03-31 00:00:00,67
59.43500169,24.75568612,1899-12-30 09:00:00,2016-03-31 00:00:00,67
59.43550794,24.75506841,1899-12-30 09:00:00,2016-03-31 00:00:00,67
59.40271448,24.69752027,1899-12-30 09:00:00,2016-03-31 00:00:00,64
59.40312036,24.69884898,1899-12-30 09:00:00,2016-03-31 00:00:00,64
59.43516711,24.75969997,1899-12-30 09:00:00,2016-03-31 00:00:00,62
59.43530769,24.75867108,1899-12-30 09:00:00,2016-03-31 00:00:00,62
59.43534522,24.75838995,1899-12-30 09:00:00,2016-03-31 00:00:00,62
59.43548192,24.75959132,1899-12-30 09:00:00,2016-03-31 00:00:00,62
59.43555284,24.75896839,1899-12-30 09:00:00,2016-03-31 00:00:00,62
59.43558353,24.75000858,1899-12-30 08:00:00,2016-03-31 00:00:00,62
59.4356285,24.75830042,1899-12-30 09:00:00,2016-03-31 00:00:00,62
59.43575594,24.75094468,1899-12-30 08:00:00,2016-03-31 00:00:00,62
59.43575899,24.75040946,1899-12-30 08:00:00,2016-03-31 00:00:00,62
59.43603308,24.75114462,1899-12-30 08:00:00,2016-03-31 00:00:00,62
59.43615673,24.7514998,1899-12-30 08:00:00,2016-03-31 00:00:00,62
59.43630368,24.75226163,1899-12-30 08:00:00,2016-03-31 00:00:00,62
59.40271448,24.69752027,1899-12-30 08:00:00,2016-03-31 00:00:00,60
59.40312036,24.69884898,1899-12-30 08:00:00,2016-03-31 00:00:00,60
59.43437289,24.75576032,1899-12-30 08:30:00,2016-03-31 00:00:00,59
59.43453702,24.75609767,1899-12-30 08:30:00,2016-03-31 00:00:00,59
59.43456148,24.75574687,1899-12-30 08:30:00,2016-03-31 00:00:00,59
59.43477062,24.75606319,1899-12-30 08:30:00,2016-03-31 00:00:00,59
59.43500169,24.75568612,1899-12-30 08:30:00,2016-03-31 00:00:00,59
59.43550794,24.75506841,1899-12-30 08:30:00,2016-03-31 00:00:00,59
