OBJECTID,7,7_30,8,9,8_30,9_30,10,10_30,11_30,11,12,12_30,13,13_30,14,14_30,15,15_30,16,16_30
2484,340.8,325.7,269.3,385.8,350.7,299.2,310.4,319.9,279.5,317.4,277.7,250.8,267.4,270.7,253.4,209.5,174.3,150.7,116.7,104.3
2485,309,289.6,245.8,352.9,313.5,270.3,291.2,286.9,259.1,291.6,254.9,234.5,249.3,249,235.3,191.3,159.6,131.2,104.9,91.8
2486,308,288.5,245,351.9,312.3,269.4,290.6,285.9,258.4,290.7,254.1,233.9,248.7,248.3,234.7,190.7,159.1,130.6,104.5,91.4
2487,311.2,292.1,247.4,355.2,316.1,272.3,292.5,289.2,260.5,293.4,256.4,235.6,250.5,250.5,236.5,192.5,160.6,132.5,105.7,92.7
2488,490.7,465.1,388.8,557.5,502,430.1,453.4,458.5,406.2,459.5,401.9,365.8,389.5,392,368.5,302.5,252,213.4,167.4,148.3
2489,417.1,412.4,325.7,464.6,440.1,368.5,356.1,399.4,328.5,379.2,332.5,289.7,310.5,322.6,296.7,253.2,209.5,197.9,145,134.2
2508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2510,5.3,4.7,4.2,6.1,5.2,4.6,5.3,4.8,4.6,5.1,4.4,4.2,4.5,4.4,4.2,3.3,2.8,2,1.8,1.5
2513,34.6,31.1,27.9,40.2,34.1,30,34.9,31.4,30.3,33.5,29.2,27.9,29.5,28.7,27.6,21.7,18.2,13.4,11.5,9.7
2514,33.5,30.1,27,38.9,32.9,29.1,33.7,30.4,29.3,32.4,28.3,27,28.5,27.8,26.7,21,17.6,13,11.2,9.3
2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2516,1.2,1,0.9,1.4,1.1,1,1.2,1.1,1,1.1,1,0.9,1,1,0.9,0.7,0.6,0.5,0.4,0.3
2517,168.5,151.5,135.9,196,165.9,146.3,169.8,152.8,147.6,163.3,142.4,135.9,143.7,139.8,134.6,105.8,88.8,65.3,56.2,47
