time_slot,stop name,sum_all,lat,long,CellID
5:00:00 PM,Keskturg,102,59.431758619,24.768962812,4104
5:00:00 PM,Keskuse,14,59.399588645,24.67987909,2471
5:00:00 PM,Kiive,26,59.43009188,24.807026325,5490
5:00:00 PM,Kirde,2,59.38975217,24.710876395,2963
5:00:00 PM,Kiviku,2,59.4433828375,24.8816816075,3881
5:00:00 PM,Kivimäe jaam,2,59.37856,24.654885,3327
5:00:00 PM,Koidu,66,59.428994445,24.73055061,4389
5:00:00 PM,Kolde puiestee,18,59.4398033,24.70821743,3021
5:00:00 PM,Koolimaja,13,59.4179502,24.721285535,3214
5:00:00 PM,Kopli,39,59.46130617,24.668148552,3657
5:00:00 PM,Kose,2,59.458004685,24.861723355,3700
5:00:00 PM,Kose tee,21,59.454940965,24.870311515,4852
5:00:00 PM,Koskla,47,59.4253784467,24.71828699,3216
5:00:00 PM,Kosmos,59,59.428657072,24.742964414,3168
5:00:00 PM,Kotka,7,59.420722425,24.729720975,4387
5:00:00 PM,Kotka kauplus,52,59.439682615,24.831726135,5145
5:00:00 PM,Kraavi,3,59.37598992,24.71430022,3205
5:00:00 PM,Kullerkupu,44,59.41112917,24.64768247,3614
5:00:00 PM,Kumu,36,59.4353901325,24.7986201875,5258
5:00:00 PM,Kungla,15,59.447684295,24.72889112,4393
5:00:00 PM,Kunstiakadeemia,359,59.43541388,24.758936855,3120
5:00:00 PM,Kuristiku,21,59.449510415,24.868876215,4851
5:00:00 PM,Kuuli,30,59.4347202325,24.858878745,3695
5:00:00 PM,Kõue,2,59.386933725,24.69060617,4775
5:00:00 PM,Küüvitsa tee,1,59.48372478,24.860136115,3706
5:00:00 PM,L. Koidula,2,59.43874455,24.7773586,4187
5:00:00 PM,Laagna,60,59.44019697,24.844005805,5106
5:00:00 PM,Laagri,24,59.354663025,24.62771109,3634
5:00:00 PM,Laaniku,3,59.36110008,24.61332458,4501
5:00:00 PM,Lahesuu,6,59.45602253,24.699288065,4974
5:00:00 PM,Laki,38,59.416684915,24.67901868,2475
5:00:00 PM,Lakiotsa,35,59.409729475,24.67435008,3556
